Versiones - Numero de Commit - Responsable - Fecha
Version 13.0.0 - f4d38e81b17cfdbdec314c622fc87513fc0f0e25 - None - 2023-10-06 09:48:06-06:00
Version 12.0.0 - 2110baf26498643eb6ea7277ce5656a1f6471d9e - None - 2023-10-06 09:35:46-06:00
Version 11.0.0 - db828aab0c80ba5c51184a292c49b281326cfd4e - None - 2023-10-06 09:35:16-06:00
Version 10.0.0 - 3ece1fcbf87eb58678bd6756c5c1ba6a9a614775 - None - 2023-10-06 09:23:39-06:00
Version 9.0.0 - db3d16bbba0cc1176a6571c225a28985fc59803b - None - 2023-10-06 08:56:32-06:00
Version 8.0.0 - d353a8b2f0518c4c2cd0f7f79381b2d91b4ce2d6 - None - 2023-10-06 08:55:03-06:00
Version 7.0.0 - 9163301acced3636e26b93741fe6e88e192ab63d - None - 2023-10-06 08:54:12-06:00
Version 6.0.0 - 12fada365e06d03f5dbeb6f4da8ad3d2eb30c319 - None - 2023-10-06 08:36:17-06:00
Version 5.0.0 - 27678f0fefb86d2ca31231ff3e26a3b55f0334e6 - None - 2023-10-05 16:32:09-06:00
Version 4.0.0 - 0bd7a2bc2cf3e8524a4d671a6739c3665ab40f94 - None - 2023-10-05 16:31:35-06:00
Version 3.0.0 - 3f422ca3ed3a2ff1a85fbc6590050bb9b95fed77 - None - 2023-10-05 16:26:15-06:00
Version 2.0.0 - 4bb991d9e152564a8afa7d7e3c2fcc74240fe6e9 - None - 2023-10-05 16:20:09-06:00
Version 1.0.0 - 5084553f2931d9910fbd7ca2f9205f104099f8c3 - None - 2023-10-05 16:18:50-06:00
